Sample,BI,BI_gfp,CB,CB2,CF,CF_gfp,Cm,EA,EA2,EA_gfp,EC1,EC9,EC10,EC11,EC12,EC14,EC16,EC17,EC18,EColi,EColi_gfp,Gh9,Gh11,Gh12,Gh16,Gh22,Gh24,Gh27,Gh28,Gh29,Gh30,Gh35,Gh36,Gh38,Gh40,Gh43,Gh44,Gh50,Gh54,Gh59,Gh60,Gh61,Gh62,Gh67,Gh68,KA,LA,Og84,Og85,Og87,Og90,Og92,Og122,OGI19-L,OGI33-L,PAg1,PAg1_gfp,PAg2,PAg3,PAl,PAn,PAr,ParPR2,PH,PK,PP,PP_gfp,PR1,PR2,RP1,RP1_gfp,RP2,RP3,SF1,SF2,SF3,Ut12,Ut14,Ut22
BI,,0.006,0.166,0.002,0.005,0.005,0.204,0.041,0.041,0.041,0.204,0.204,0.204,0.204,0.204,0.204,0.028,0.028,0.028,0.044,0.044,0.122,0.122,0.265,0.122,0.265,0.122,0.265,0.265,0.204,0.265,0.122,0.204,0.204,0.265,0.122,0.122,0.265,0.265,0.122,0.204,0.17,0.265,0.265,0.265,0.009,0.022,0.122,0.144,0.17,0.122,0.122,0.204,0.204,0.265,0.029,0.029,0.029,0.029,0.029,0.029,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.017,0.017,0.017,0.017,0.037,0.037,0.037,0.265,0.122,0.122
BI_gfp,0.006,,0.166,0.006,0.006,0.006,0.204,0.041,0.041,0.041,0.204,0.204,0.204,0.204,0.204,0.204,0.028,0.028,0.028,0.044,0.044,0.122,0.122,0.265,0.122,0.265,0.122,0.265,0.265,0.204,0.265,0.122,0.204,0.204,0.265,0.122,0.122,0.265,0.265,0.122,0.204,0.17,0.265,0.265,0.265,0.009,0.022,0.122,0.144,0.17,0.122,0.122,0.204,0.204,0.265,0.029,0.029,0.029,0.029,0.029,0.029,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.017,0.017,0.017,0.017,0.037,0.037,0.037,0.265,0.122,0.122
CB,0.166,0.166,,0.166,0.166,0.166,0.204,0.166,0.166,0.166,0.204,0.204,0.204,0.204,0.204,0.204,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.265,0.166,0.265,0.166,0.265,0.265,0.204,0.265,0.166,0.204,0.204,0.265,0.166,0.166,0.265,0.265,0.166,0.204,0.17,0.265,0.265,0.265,0.166,0.166,0.166,0.166,0.17,0.166,0.166,0.204,0.204,0.265,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.265,0.166,0.166
CB2,0.002,0.006,0.166,,0.005,0.005,0.204,0.041,0.041,0.041,0.204,0.204,0.204,0.204,0.204,0.204,0.028,0.028,0.028,0.044,0.044,0.122,0.122,0.265,0.122,0.265,0.122,0.265,0.265,0.204,0.265,0.122,0.204,0.204,0.265,0.122,0.122,0.265,0.265,0.122,0.204,0.17,0.265,0.265,0.265,0.009,0.022,0.122,0.144,0.17,0.122,0.122,0.204,0.204,0.265,0.029,0.029,0.029,0.029,0.029,0.029,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.017,0.017,0.017,0.017,0.037,0.037,0.037,0.265,0.122,0.122
CF,0.005,0.006,0.166,0.005,,0,0.204,0.041,0.041,0.041,0.204,0.204,0.204,0.204,0.204,0.204,0.028,0.028,0.028,0.044,0.044,0.122,0.122,0.265,0.122,0.265,0.122,0.265,0.265,0.204,0.265,0.122,0.204,0.204,0.265,0.122,0.122,0.265,0.265,0.122,0.204,0.17,0.265,0.265,0.265,0.009,0.022,0.122,0.144,0.17,0.122,0.122,0.204,0.204,0.265,0.029,0.029,0.029,0.029,0.029,0.029,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.017,0.017,0.017,0.017,0.037,0.037,0.037,0.265,0.122,0.122
CF_gfp,0.005,0.006,0.166,0.005,0,,0.204,0.041,0.041,0.041,0.204,0.204,0.204,0.204,0.204,0.204,0.028,0.028,0.028,0.044,0.044,0.122,0.122,0.265,0.122,0.265,0.122,0.265,0.265,0.204,0.265,0.122,0.204,0.204,0.265,0.122,0.122,0.265,0.265,0.122,0.204,0.17,0.265,0.265,0.265,0.009,0.022,0.122,0.144,0.17,0.122,0.122,0.204,0.204,0.265,0.029,0.029,0.029,0.029,0.029,0.029,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.017,0.017,0.017,0.017,0.037,0.037,0.037,0.265,0.122,0.122
Cm,0.204,0.204,0.204,0.204,0.204,0.204,,0.204,0.204,0.204,0.186,0.186,0.186,0.186,0.186,0.186,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.265,0.204,0.265,0.204,0.265,0.265,0.186,0.265,0.204,0.186,0.186,0.265,0.204,0.204,0.265,0.265,0.204,0.186,0.204,0.265,0.265,0.265,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.186,0.046,0.265,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.265,0.204,0.204
EA,0.041,0.041,0.166,0.041,0.041,0.041,0.204,,0,0.008,0.204,0.204,0.204,0.204,0.204,0.204,0.041,0.041,0.041,0.044,0.044,0.122,0.122,0.265,0.122,0.265,0.122,0.265,0.265,0.204,0.265,0.122,0.204,0.204,0.265,0.122,0.122,0.265,0.265,0.122,0.204,0.17,0.265,0.265,0.265,0.041,0.041,0.122,0.144,0.17,0.122,0.122,0.204,0.204,0.265,0.041,0.041,0.041,0.041,0.041,0.041,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.265,0.122,0.122
EA2,0.041,0.041,0.166,0.041,0.041,0.041,0.204,0,,0.008,0.204,0.204,0.204,0.204,0.204,0.204,0.041,0.041,0.041,0.044,0.044,0.122,0.122,0.265,0.122,0.265,0.122,0.265,0.265,0.204,0.265,0.122,0.204,0.204,0.265,0.122,0.122,0.265,0.265,0.122,0.204,0.17,0.265,0.265,0.265,0.041,0.041,0.122,0.144,0.17,0.122,0.122,0.204,0.204,0.265,0.041,0.041,0.041,0.041,0.041,0.041,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.265,0.122,0.122
EA_gfp,0.041,0.041,0.166,0.041,0.041,0.041,0.204,0.008,0.008,,0.204,0.204,0.204,0.204,0.204,0.204,0.041,0.041,0.041,0.044,0.044,0.122,0.122,0.265,0.122,0.265,0.122,0.265,0.265,0.204,0.265,0.122,0.204,0.204,0.265,0.122,0.122,0.265,0.265,0.122,0.204,0.17,0.265,0.265,0.265,0.041,0.041,0.122,0.144,0.17,0.122,0.122,0.204,0.204,0.265,0.041,0.041,0.041,0.041,0.041,0.041,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.265,0.122,0.122
