sample2,P_putida3,P_plecoglossicida1,E_aerogenes,P_monteilii1,B_cereus1,R_planticola4,P_simiae,P_koreensis3,R_planticola3,R_planticola1,C_freundii1,C_lactis3,E_cloacae2,P_vagans,P_eucalypti,P_corrugata,C_freundii2,R_planticola2,E_americana2,P_viridiflava,P_mosselii,B_safensis1,E_cloacae1,B_izardii2,E_coli1,B_cereus,L_amnigena,F_ginsengiterrae,B_cereus2,P_agglomerans3,P_rhodesiae2,S_fonticola3,P_putida2,P_citronellolis,A_tumefaciens,P_putida1,S_rhizophila,C_lactis6,EColi_gfp,B_subtilis,B_izardii1,B_thuringiensis,P_helmanticensis,P_monteilii2,E_americana3,P_allii,P_koreensis1,PAg1_gfp,F_banpakuense2,E_americana1,S_fonticola2,PP_gfp,P_agglomerans1,S_fonticola1,E_cloacae,B_albus,P_koreensis2
P_putida3,0.0,0.22329800715635603,1.6240969798629636,0.6509216542718484,0.45809278536121906,1.4138359169295422,1.7026778908531115,0.824658717288552,1.5152498143870534,1.4194892786524211,2.3169437420548338,1.6566312202780678,1.4789340756098632,1.7806142198690877,1.5712670046812538,1.2264440468280646,1.8458320617000885,1.259826972246586,1.4666120823176112,1.772194966700899,0.5025206463420184,1.782263448539525,1.353663916930639,1.6768977309305417,2.088547581454634,1.5353370965361322,1.6180173052226603,1.3229036246076282,1.5556374899056655,2.23524182136967,0.802920917650051,1.6287900417180845,0.3068322016998868,0.9862215775372186,2.2790550673469916,0.14985659811966912,1.747979977002025,1.3882615027436294,2.3548298389297178,2.3309553835283934,2.120720737220365,1.4662441815741332,0.6459109845791445,0.21306806424239177,1.5105075306002285,2.162202118211894,1.3234285020355274,2.115407964039414,1.6119723943045674,1.751735753391269,1.5875707858234227,1.04577174905285,2.1162480950966027,1.2129670234594179,1.4559965659300163,2.8813373631006836,0.40648862222699417
P_plecoglossicida1,0.22329800715635603,0.0,1.7177918965928323,0.5539286957722988,0.40626469204202326,1.5336251171652084,1.6688546970901932,0.7419811318355743,1.5731230085406545,1.4201101342019542,2.3455785392098862,1.7321122942811762,1.5391647085351199,1.786581932070287,1.6687348501184962,1.275403073541851,1.9540547587004822,1.3884401319466388,1.5056888788856746,1.859540534648277,0.3979233594550589,1.8528666978495785,1.3971850271170245,1.8299300533080491,2.157644780773703,1.586404740285404,1.7115273880367794,1.3864494220850612,1.6220591851100872,2.3023887595278083,0.9172426069475841,1.7027844843079822,0.4686085786666736,1.0981252205463639,2.3442546789971432,0.15964022049596402,1.8433789626661143,1.4282156699882549,2.3732367031943076,2.3723142709177467,2.1202144967934773,1.5236239693572688,0.7637781091390351,0.2571730934604163,1.5634522698183018,2.2593800034522746,1.4233176033478963,2.1247684817432937,1.744267468022035,1.7425733603742963,1.6592031219835623,1.0035332802420927,2.183197196773576,1.3039750764489328,1.5139656535073707,2.933284336712007,0.24031437743089779
E_aerogenes,1.6240969798629636,1.7177918965928323,0.0,2.1454458744046656,1.7291645381513003,1.3188930965017596,2.937677143594919,1.7959518367706857,1.6959089008552315,1.9625364364472544,2.5441344229395355,1.8049880886033574,0.7175729928028228,1.3682243968004664,1.5936803318106176,1.4390990236950338,1.1439182663110157,1.3204275822626548,1.1799355914625171,1.8793493554951406,1.7811715245871187,1.3575860930342503,1.3164212851515278,1.53361501035951,1.1137396464165223,2.5028589652635245,0.6984217923289622,1.4098492827249303,1.0920966074482603,1.3586202559950298,1.4990847207546343,1.4853060290727969,1.5670938070198606,1.2872482278100055,1.669161765677611,1.6033745663443708,0.3502442005230064,1.4247599797860693,1.869342455465406,1.4333562013679642,2.441113941609151,0.7232655114133398,1.661768335238098,1.5344396371314186,1.3232822828104367,1.474201139600699,1.6727324950511364,1.6966182502096574,0.9890439828440393,1.4632385023295638,1.6952185699785147,2.0735202587774673,1.3188180314205595,1.333251664165472,0.7716832251643158,2.3354258712277725,1.7839237651872908
P_monteilii1,0.6509216542718484,0.5539286957722988,2.1454458744046656,0.0,0.7389993234097036,2.018987122296722,1.3421486504854818,1.1044260953092335,1.9717269080681534,1.72065453869872,2.4642800789716643,2.2082658354464484,1.9354268263098968,2.2776913750550136,2.082605819640385,1.7714033984386504,2.1702596618838035,1.850446702826104,1.955812874484673,2.305317765515201,0.5990041736081643,2.383813751113958,1.6958304750180662,2.2007900854011497,2.6890797682478667,1.8272895227631554,2.0725508437671682,1.8557534857841436,1.9615088579968227,2.8016532619151855,1.2496051376334845,2.0400122548651516,0.8531183974103476,1.5732482321617272,2.7828796236991638,0.6661576390014603,2.2352952825074364,1.90454115208887,2.781908097228004,2.9131083055732754,2.3088991748158074,1.9206428611274924,1.0802221993645564,0.6878829842349642,1.9816457806580874,2.699322692824998,1.9103811138094933,2.5142331096361685,2.21534196005944,2.124823594321904,1.968733095165518,1.0848427915352086,2.6922215733479296,1.666945110074114,1.9172545475236198,3.082817542443925,0.47972075210480525
B_cereus1,0.45809278536121906,0.40626469204202326,1.7291645381513003,0.7389993234097036,0.0,1.6045756448357305,1.7169831099926407,0.8511844688432701,1.626414768747505,1.3643837932179315,2.304011810593718,1.7985510835113916,1.4790020283961751,1.797360843014001,1.7177773429638663,1.3269551612620525,1.9020023659291276,1.4760694428108725,1.3594896101110887,2.0258376045478075,0.6941685674243685,1.9305755618467775,1.4509117822941544,2.010145019644105,2.100608007220767,1.6636288648613908,1.669774535678395,1.4512225880270746,1.5535124717877227,2.2384519204128557,1.0060342936500724,1.740113789382752,0.6537927806270118,1.1789597109316332,2.229627995877339,0.4514288426762295,1.8098461260560246,1.5102599114059807,2.2408519891327767,2.330706330707496,1.9061163254957108,1.4634455917457265,0.8641863225022716,0.5344127618236675,1.6246365747452567,2.1513630562971002,1.3897769605228028,2.0085165160633824,1.8114922025777533,1.6266834798405534,1.7642040698286579,0.9593915208855509,2.0743415822858107,1.4081526905843698,1.4487087353916246,2.875215817986539,0.47861466755627113
R_planticola4,1.4138359169295422,1.5336251171652084,1.3188930965017596,2.018987122296722,1.6045756448357305,0.0,2.8197382857279503,1.6145785827887102,1.1008269618791138,1.4946751010206674,2.4034354921765324,0.757228499199548,1.3274705269797895,1.2614725522182397,0.9631749581462344,1.0772729459148225,2.0493667314563297,0.2884059638773096,1.4390576777877946,1.254930675376134,1.6051264747676428,0.9136394255941456,1.448782247268374,1.1187644971127746,1.2777531060420082,1.760948040119299,1.424137633798082,0.9474249310631424,1.4428936204724172,1.5333199274776286,1.347390069727397,1.4281873126449485,1.2908927143647533,0.6377389748164997,1.8399119544152107,1.4101407731145141,1.5038410820296142,1.0661369518030974,2.015911234581177,1.4934379799643507,2.32553339788425,1.327371086019279,1.4268212922437062,1.3922392035853608,1.232826427361127,1.6656103986226791,0.9951497374767276,1.8766424029881954,0.8102450246684643,1.7092041709706132,1.4126135352600866,1.951728161591794,1.491607857313711,1.0460587937587447,1.2820811206784068,3.1931390511532696,1.712521240744184
P_simiae,1.7026778908531115,1.6688546970901932,2.937677143594919,1.3421486504854818,1.7169831099926407,2.8197382857279503,0.0,1.9591584928228754,2.762401853460137,2.1016407260535583,2.59186006254793,2.943253132165156,2.7814010857839255,3.054619616253389,2.821672199246397,2.540430475332872,2.829085011094577,2.6659459859494525,2.7494201206799955,2.9934690577989946,1.5854422096058878,3.1503379183827254,2.4843594747942577,2.8770116440501248,3.5353397290783812,2.3168608072130703,2.8428299280822267,2.549568983181275,2.69312680726326,3.6170944140290286,1.97981968875956,2.7225251146683664,1.7795325228834677,2.402702853038636,3.3018915790800882,1.7249002869731342,3.0174250612069886,2.6134792901417834,3.2979204534407693,3.7550543271702477,2.6688840566159584,2.777418945712008,1.8494596508169623,1.7307200813534236,2.7042246578270825,3.457556940962795,2.687076292180779,3.0503134292675154,2.9553732420795855,2.6069056946992,2.602417529913292,1.1634059669306056,3.3669071861279454,2.376609980623661,2.7766998397378138,3.4962015102107604,1.5900474835677079
P_koreensis3,0.824658717288552,0.7419811318355743,1.7959518367706857,1.1044260953092335,0.8511844688432701,1.6145785827887102,1.9591584928228754,0.0,1.6973049225168706,1.629285651641704,2.4934847638591053,1.5222828252332088,1.7224058755125053,1.487227958317083,1.7805948444269966,0.888636596140402,2.1437052036135937,1.526185440895044,1.3035969469126567,1.6860868898132149,0.7655057151974765,1.7117812360228746,1.5947407312789124,1.9605769558984416,2.0954534115555994,1.2859860030342476,1.9149845952383011,1.0644190903962591,1.7428310302493468,2.239260592249147,0.9813042341700152,1.7049935483748906,0.886666791979941,1.0805105274822637,2.385132700710801,0.7337881165568164,2.0003729652242352,1.0364468148438684,2.3251772388858347,2.255932844745162,2.344984572372127,1.7199703485816258,0.8913231737142258,0.7573889357522988,1.332469511846331,2.1720359113053354,1.2280631091275398,2.2619511961261916,1.8548867889981857,1.7340756501200727,1.6222764869158401,1.2745993026220046,2.10985639321732,1.2623688050645105,1.7102672305812328,2.726327749922962,0.7064184312431265
R_planticola3,1.5152498143870534,1.5731230085406545,1.6959089008552315,1.9717269080681534,1.626414768747505,1.1008269618791138,2.762401853460137,1.6973049225168706,0.0,1.4588785513648055,2.341343226460226,1.329009781754822,1.6009859462218896,1.6806745669522103,0.3881185385935592,1.5094995859555576,2.2111069625868396,1.0314135930847528,1.7672020258023697,1.653720351208148,1.6463259094116207,1.3605649561854811,1.6371768383409289,1.5556606313717656,1.6829399870464783,2.048551683507155,1.6064426538161891,1.3943263606487544,1.7948336970315661,1.407818170077372,1.7146632322412467,1.070110741932815,1.5154319516230348,1.1302526266282242,1.6458128690710863,1.5104843594026385,1.8442304628218245,1.5068430575212537,2.084127343448721,1.8689507751677141,2.0970646464837004,1.5803980511250952,1.7115083990445388,1.4895207282881295,1.1859118854282555,1.4858418489193257,1.4119578605610015,1.60751532615999,1.288019021598672,1.7330894357817195,1.0872216885253898,1.8744983165989262,1.5579762514236217,1.4038906652585166,1.549347604638804,3.2774927917540873,1.7315995495494911
R_planticola1,1.4194892786524211,1.4201101342019542,1.9625364364472544,1.72065453869872,1.3643837932179315,1.4946751010206674,2.1016407260535583,1.629285651641704,1.4588785513648055,0.32412459024270285,2.0074181065922616,1.6769728084410682,1.7457595395156522,1.9453444291831141,1.6064666208361937,1.73764486133259,2.3050802707692104,1.371234089518598,1.92120564551303,1.982361866539259,1.4761595311397468,1.7794347745188963,1.7100791797002453,1.9021102180958667,2.022170404187735,2.145035456265304,1.9810457921229383,1.6314673974244258,1.9384696518738582,2.183174928479076,1.830285453390376,1.9831194417880298,1.5193267673761945,1.3673816949076465,2.0335559151690976,1.4156927733089626,2.072471951670427,1.740645269313698,1.7716506456863874,2.2023333996281282,1.632304527570813,1.7139561519787767,1.7780623041292145,1.4042578446993619,1.8638641427083669,2.2051602297732398,1.6478994091922705,1.4149887763940856,1.65300742864137,1.2107716900822152,1.9776490208746211,1.1274185329267103,1.9165209818574076,1.7145887435520513,1.6879361513524134,3.3920972075721334,1.5575563798061196
