sample2,A_tumefaciens,B_albus,B_cereus,B_cereus1,B_cereus2,B_izardii1,B_izardii2,B_proteolyticus1,B_proteolyticus2,B_safensis1,B_safensis2,B_subtilis,B_thuringiensis,C_braakii,C_freundii1,C_freundii2,C_lactis1,C_lactis2,C_lactis3,C_lactis4,C_lactis5,C_lactis6,C_lactis7,C_lactis8,C_lathyri2,C_odontotermitis,Cm,EColi_gfp,E_aerogenes,E_americana1,E_americana2,E_americana3,E_cloacae,E_cloacae1,E_cloacae2,E_coli1,F_banpakuense1,F_banpakuense2,F_ginsengiterrae,L_amnigena,L_macroides,M_kyungheense,PAg1_gfp,PP_gfp,P_agglomerans1,P_agglomerans3,P_allii,P_citronellolis,P_corrugata,P_eucalypti,P_helmanticensis,P_koreensis1,P_koreensis2,P_koreensis3,P_monteilii1,P_monteilii2,P_mosselii,P_plecoglossicida1,P_putida1,P_putida2,P_putida3,P_rhodesiae2,P_simiae,P_vagans,P_viridiflava,R_planticola1,R_planticola2,R_planticola3,R_planticola4,S_fonticola1,S_fonticola2,S_fonticola3,S_rhizophila,V_guangxiensis
A_tumefaciens,0.0,2.0488035532964113,2.280068420026031,1.5164953016742253,1.0182607721011352,1.3084542200995384,1.2652296234280953,2.3912444458900475,2.3375232619163384,0.9063470637675172,2.239710249117059,1.3774240450928683,1.2234684303242156,1.774805904880869,1.0821323664457396,1.0858789066926384,2.5230097106432225,1.8080176990284138,2.00838118891808,2.43931814243243,2.284669998052235,1.5953485512576866,2.280588082052522,2.192297653148404,2.1135697291549196,2.1066110224718755,1.7581174145973009,1.351724717025642,1.4920529481221503,1.4276861213196363,1.4908460685127758,1.379167865054867,1.2245297056421294,1.398316130208044,1.2049597503651315,1.274945881204375,1.8952390350560007,1.1967017172211294,1.3545896057478073,1.0691674330992316,2.296273285129625,1.0418752324534835,0.9353630333309968,1.6082094628359211,1.1444098916035286,1.3013285519037843,1.289403738167375,1.4252964603899079,1.6741591919527845,1.3570357401336193,1.8940863232704048,1.5670465851403397,1.8925155217329128,1.8678340397369355,2.0036302054021844,1.4861409758162245,2.2484628082314373,1.8468808840853816,1.7494441974524366,2.209816960745844,2.1114755504149225,1.9934116484058177,1.5511505407277528,1.1580686508147953,1.811062671472194,1.2871184578241959,1.433666627915988,1.3527557059572877,1.4295474808483977,1.3163088543347266,1.2753105504150741,1.108409220459664,1.058118140851956,2.1042666180881167
B_albus,2.0488035532964113,0.0,1.2135872444946016,1.2184925112613536,2.4406042284647462,2.3099190831930816,2.569861474865912,1.6698347223602699,1.6451847920522482,1.8705862717340787,1.5585833311055268,1.9544807494575125,2.498506553923763,1.463675510487212,2.21037850189244,2.143782871468097,1.9409312198014643,2.0900143540176943,0.9218541099328027,1.9923104677735344,1.5878686973424472,1.3612321624175652,1.9164425376201606,1.750085997886961,1.8651163502580743,1.6394224592825366,1.7432256425480652,2.300126854396163,2.4530320014219136,2.2451207748443687,2.349496967437924,2.1630067036419467,2.5512328392367483,2.732201676304295,2.5808750454061116,2.182655492742728,1.9083298981046228,2.758875314326474,1.4727827402573672,2.5310395097666887,1.7970584297679362,2.094887109130227,2.3291657272225117,1.8743095177347169,2.0584061795476614,1.967526874022309,2.390837091898986,1.9052564131895737,1.471349380670682,2.8766035528032012,1.3272803019709138,1.4583974081161828,1.3836094102021712,1.5330629471747077,1.844576916260203,2.182878145934857,1.412161109788823,1.9410705808908646,1.4928486192511283,1.5009113897895503,1.6378702634824285,1.2180903086388957,2.5771678253462653,1.8121702458654374,1.275721756497082,2.5848977656136776,2.7815283568570712,2.8064101624673468,2.809736642463133,2.2644789687696374,2.3209228767884555,2.4413596621554965,2.5109743128913125,1.595531259486946
B_cereus,2.280068420026031,1.2135872444946016,0.0,1.6182064145219544,2.6941620218539195,2.278982776598192,2.6589012768435007,1.8869250117585488,2.1729659454303465,2.087199798773467,2.2043457079142557,2.236597639272652,2.5386801689066707,1.6225966843303976,2.317803563403417,2.2048453460503756,2.0694182757480424,2.387574082620265,1.3492238509602474,2.190239484622629,2.2653116783347937,1.5794749127479046,2.4046604749943388,2.315921199004837,2.107001423824863,1.9974343543656194,1.935844242844213,2.5565390268336845,2.4143487734790927,2.377523989513355,2.510605504654206,2.225398391299859,2.571280809246629,2.7418774589685806,2.668595510750927,2.4293820201853804,2.1702808574007193,3.0359184771663417,1.6490624609152922,2.6538803665576185,2.2306534916925127,2.1141735974134197,2.531651089350965,1.5153362465377445,2.4843562546462614,2.413753508542246,2.7598199216615567,2.0843104375308394,1.7211348000665145,2.9991328746822803,1.506288484985529,1.6947445235196956,1.5541348075376216,1.4240589875423,1.2896767036742194,1.7540333520204225,1.3701302857757724,1.470008503376766,1.0248302298429726,0.8711079152435708,0.9429915163987426,1.2974413281532233,2.447944035307997,2.0784746811063157,1.3544474888307778,2.7078557819768534,2.9103662999698163,2.946899387491877,2.9487414264394225,2.369678248201641,2.44585997146198,2.5395533071782523,2.636610323881783,2.0284984594522126
B_cereus1,1.5164953016742253,1.2184925112613536,1.6182064145219544,0.0,1.9849133482346277,1.8665221275870012,2.3154818073135446,1.6105129617609413,1.3997796255125305,1.2555847243416112,1.6745829331508189,1.6055095764273724,2.1456856712948427,1.2719488983445837,1.6767018062034231,1.6429671329640165,1.771668140482297,1.5854627084860746,1.3354283956843211,1.918505929102123,1.7080541560500944,1.3696915711210316,1.5601653758496243,1.4678320748641513,1.662387740570773,1.4656800469406683,1.4494255426673,1.6547025062126677,2.0732264709867083,1.6377450340026878,1.7775831907396062,1.5062310579721825,2.2132670421799534,2.350545468609361,2.184569065056081,1.5021321513102632,1.5608635430427604,2.2373692140547567,1.4074185589226824,2.1124836094038693,1.584723004187167,1.8236929566130369,1.8696971876103643,1.6479497763359783,1.633358503207425,1.5897421174517583,2.0283983829612957,1.3842521446615135,1.403699754220966,2.467462259083206,1.4521428993043348,1.0234153604475558,0.8892035762411216,1.2158939098457562,1.8137645933251647,1.8217840157384189,1.3166210540622536,1.777119298190192,1.3423140467118715,1.6096443706607992,1.630296598781952,1.6212044904946448,2.347382797926235,1.5127673317466899,1.1703674636625885,2.241232817102466,2.410567153182006,2.428912925569791,2.4483235080356516,1.760620629210052,1.8695515505061635,2.0281718369014,2.1300774633801467,1.3961532867131745
B_cereus2,1.0182607721011352,2.4406042284647462,2.6941620218539195,1.9849133482346277,0.0,1.1382219645715912,1.1235386063682904,2.7901388854320497,2.5942151028779397,1.20878285891222,2.597267602693261,1.460492382725771,0.8498070369207353,2.154914151422279,1.1290199059834027,1.1521032939801883,2.7502954386756344,2.1410088743393847,2.449797542655311,2.7767030809937165,2.6209364738581513,2.0161974109694714,2.515509292370036,2.4200752054430046,2.5242016559696654,2.4193125056511406,2.0474508319844067,1.639840839799397,1.582052780409048,1.8899130244721727,1.8836530996975,1.7006225330742857,0.9156538647327384,0.9939431573284259,0.6269569363201909,1.7064805888143,2.2871633085549448,1.159783600504853,1.7284519085007835,0.5241774508694551,2.625166661375997,1.6370519234282095,0.738129844428945,1.9500611551966935,1.2935992424240206,1.4792048539671576,1.4199531682418263,1.7073532147742596,2.0369305339161667,1.277643534010954,2.305271350622308,2.0325791497503856,2.3144480983595206,2.2700610123959226,2.4175812292454624,1.8282062246912956,2.636255298714447,2.1987523735063936,2.234768891854368,2.644231079160821,2.534230060590396,2.5000597992848093,1.5577095364669244,1.6989249541989782,2.1488794754476106,1.2890464023025014,1.2650498013912337,1.2100144627234832,1.2543440516859796,1.3327805520789984,1.2929083494200198,1.0516929209612471,0.6678689991308175,2.372961230193195
B_izardii1,1.3084542200995384,2.3099190831930816,2.278982776598192,1.8665221275870012,1.1382219645715912,0.4008197849408135,1.3212872180681692,2.5961324701221598,2.3955028469851714,1.3731340407240713,2.719537808690119,1.7548066209589768,1.3207800592483236,1.8685476843163142,0.908368976084216,0.784920238815844,2.5276532382639836,2.094841862714028,2.3749878010074985,2.548251751757449,2.7543676802882815,2.0026235528141174,2.345628749288518,2.2479267939138916,2.27036449205004,2.2442306565904766,1.9016459318931238,1.5702787157466171,1.0559045611037736,1.6283949760937784,1.6504397516367146,1.3730714473790235,1.3281424721774457,1.3979162000625724,1.2585695748289463,1.5767571982946516,2.095359329129818,1.7054516774653676,1.7601710918910725,1.249206666161189,2.4929168761842373,1.581835084971718,1.027293130274081,1.6203807902512617,1.600072996526099,1.7213759211474977,1.7570924163114412,1.6185204480551447,1.9860662241960354,1.673083317513591,2.2259622159106724,1.7245654347832464,2.0258386286840593,1.9687056564878052,2.0029114529691956,1.4797255834468803,2.3030151966162062,1.8762972639686257,1.8797150249212469,2.2853728590636484,2.1649725855851676,2.46081918187888,1.6123354652071642,1.6365786820691384,1.6966138880240522,1.6065782305623562,1.7223765895564358,1.703987749799074,1.7384605681078091,1.120824911870662,1.1798553176681992,1.1495103344976574,1.0807544633403916,2.18576920761254
B_izardii2,1.2652296234280953,2.569861474865912,2.6589012768435007,2.3154818073135446,1.1235386063682904,1.3212872180681692,0.0,2.9778022096841825,2.8352691230287115,1.5270124426474065,2.821846558549915,1.7472547038139572,1.1433726426672977,2.3256629162456024,1.5037318373914523,1.316971146229104,2.9450507635692804,2.5480470953261443,2.5132303913489507,2.829205012013092,2.851505742585836,2.1050864590320275,2.7751691840318493,2.703963942067275,2.594183686634391,2.6314885521316635,2.287867077125482,1.8696304667920267,1.139952630594798,1.792043557270873,1.771709344108113,1.961016063167255,1.1318511386220362,1.236988278036619,1.058353438129248,1.7675862072329032,2.4916297879099134,1.0073931705148689,1.8352926197203538,1.0841572764133438,2.8757567699650814,1.5496328597445266,1.2839325503010781,1.8605630261833406,1.6629365592228706,1.8226595952069602,1.2437258540369738,1.948758066051299,2.1447319179794944,0.920737747678458,2.346982104746434,2.2809859710221807,2.5236459735866283,2.427049649265544,2.378310324579196,1.7630589893704636,2.70501737517525,2.12447334650261,2.214745809342463,2.635833644219604,2.470864828354639,2.4938528424909117,1.231194541898233,1.902445531414763,2.1996781582767966,0.7750369582117664,0.8066163896177662,0.8594137536716527,0.8145624592380868,1.4797178785160365,1.4084044163520646,1.0502642524622077,1.0277353745006543,2.6405916003804903
B_proteolyticus1,2.3912444458900475,1.6698347223602699,1.8869250117585488,1.6105129617609413,2.7901388854320497,2.5961324701221598,2.9778022096841825,0.0,1.408239681304287,2.287215556085609,1.31256390320624,2.4262289669361383,2.9632780834744485,1.6106955019493905,2.413382886120388,2.3666873473274834,0.9315084540679166,1.7803477188459562,2.0138234778649298,1.653746957669159,1.4216845641702662,2.196528397266923,1.7071719304159145,1.5950451404270665,1.6012835476579406,1.3521974707859796,1.7224064327352693,2.5296837563090957,2.762751888968678,2.480785824978983,2.5959703388136006,2.3842990584236703,3.0395070323985105,3.1516414770719083,3.0252428001732357,2.42466801851305,1.8007479001792561,3.0452295479979834,2.2285926052107414,2.917582389582169,1.4545538834983047,2.3265132709701017,2.6665296162798335,2.5229063478262397,2.41386329356076,2.411328679379898,2.740385374358869,2.316240920111723,2.2482248553025115,3.242351615725845,2.2174523670194137,2.0217855969414757,1.9175935440024823,2.1333640101961033,2.168428924359754,2.483616113653638,2.129454155411663,2.599256624498628,2.1809541489907573,2.2632788162310007,2.0512910568712575,2.244877724955192,3.1376797159684733,2.3770551108461917,2.0258603110777407,3.0395571559678656,3.184342318281752,3.2126608909127023,3.2218423300962447,2.533704994666901,2.629556426471963,2.800788638937255,2.9707140555765377,1.4745853654502339
B_proteolyticus2,2.3375232619163384,1.6451847920522482,2.1729659454303465,1.3997796255125305,2.5942151028779397,2.3955028469851714,2.8352691230287115,1.408239681304287,0.0,2.1625554328155383,1.393145003221129,2.1371429526355974,2.8552807217504905,1.3841636463944573,2.2757807256512717,2.1739857405236123,1.5825811195638597,1.936127320193587,1.9701091340329349,1.7555830940174835,1.414228411537542,1.9856278604008355,1.0030817514041415,0.6100983527268369,1.7548942988111846,1.4231595131959032,1.48212373078387,2.19754138663484,2.5412317879327735,2.2711932547270024,2.4065707967978,2.199832493623094,2.937102313505609,3.0670065210233903,2.8698189838385275,2.1426082236377235,1.821979692532274,2.8621558308380064,2.1208620888685807,2.7605278480754363,1.408817944235521,2.455001629327361,2.494001084421118,2.5499038996286942,2.2793009893386174,2.2766987064607385,2.58487736653018,2.2458087630072154,1.881367587687212,3.1865754345378363,1.8675786462690134,1.7872845324681799,1.5186329378753773,2.0168329132578138,2.435979679718203,2.644968808889814,1.7563331119124301,2.6402015074611254,2.266889939983854,2.4520395592241164,2.370302512338879,2.3968189335033214,3.121080101503324,2.184371305433213,1.6028508976196132,2.9009353000417466,3.05505040874942,3.1025217162817733,3.097191792575978,2.266195490243505,2.3895719281913235,2.5963312577558355,2.840818368005952,1.40642276716498
B_safensis1,0.9063470637675172,1.8705862717340787,2.087199798773467,1.2555847243416112,1.20878285891222,1.3731340407240713,1.5270124426474065,2.287215556085609,2.1625554328155383,0.0,2.181358063225751,1.2254746019399994,1.2854664523043766,1.7173342714800752,1.411766786175349,1.3367295912038455,2.3843248520283473,1.8104681714959807,1.7299109803686432,2.4734845865701285,2.224558832667727,1.4702816056796737,2.041242023866842,2.068856689091828,2.014933745809028,1.8762705028859779,1.8307803056143883,1.771428982614091,1.6963204296358634,1.5583892598336497,1.596758278513063,1.2848077677224716,1.3366757273175869,1.4590027416012623,1.3177818484104264,1.5726410906497388,1.65607970822663,1.542881719380977,1.1994532087580574,1.2453794602449488,2.11980423624447,1.352733898444184,1.2731802539419252,1.3948013062856828,1.1948510367405638,1.1903306263387496,1.6389688831701472,1.1594227011750289,1.543089757596751,1.6618691284213687,1.6865438031667013,1.5367231370679624,1.6165890015709001,1.6148055610506176,1.8529719371863134,1.4415706711777956,1.8776863422840355,1.63538558144555,1.558060974416598,1.9387738393118472,1.88287705387261,1.8065018682525626,1.5263652904858653,1.2253073083924702,1.5862777184339443,1.4568209431061439,1.638035103408959,1.6359758555675572,1.6536254110287492,1.654656459812731,1.7028581855222122,1.5814309975462097,1.2215576122312037,2.0491156629141267
