sample1,A_tumefaciens,B_albus,B_cereus,B_cereus1,B_cereus2,B_izardii1,B_izardii2,B_proteolyticus1,B_proteolyticus2,B_safensis1,B_safensis2,B_subtilis,B_thuringiensis,C_braakii,C_freundii1,C_freundii2,C_lactis1,C_lactis2,C_lactis3,C_lactis4,C_lactis5,C_lactis6,C_lactis7,C_lactis8,C_lathyri2,C_odontotermitis,Cm,EColi_gfp,E_aerogenes,E_americana1,E_americana2,E_americana3,E_cloacae,E_cloacae1,E_cloacae2,E_coli1,F_banpakuense1,F_banpakuense2,F_ginsengiterrae,L_amnigena,L_macroides,M_kyungheense,PAg1_gfp,PP_gfp,P_agglomerans1,P_agglomerans3,P_allii,P_citronellolis,P_corrugata,P_eucalypti,P_helmanticensis,P_koreensis1,P_koreensis2,P_koreensis3,P_monteilii1,P_monteilii2,P_mosselii,P_plecoglossicida1,P_putida1,P_putida2,P_putida3,P_rhodesiae2,P_simiae,P_vagans,P_viridiflava,R_planticola1,R_planticola2,R_planticola3,R_planticola4,S_fonticola1,S_fonticola2,S_fonticola3,S_rhizophila,V_guangxiensis
A_tumefaciens,0.0,0.204,0.204,0.204,0.204,0.166,0.166,0.204,0.204,0.204,0.204,0.204,0.204,0.166,0.166,0.166,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.265,0.265,0.265,0.166,0.204,0.204,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.17
B_albus,0.204,0.0,0.015,0.015,0.015,0.204,0.204,0.015,0.015,0.046,0.083,0.046,0.015,0.204,0.204,0.204,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.204,0.186,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.265,0.265,0.265,0.204,0.052,0.186,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204
B_cereus,0.204,0.015,0.0,0.0,0.0,0.204,0.204,0.0,0.0,0.046,0.083,0.046,0.0,0.204,0.204,0.204,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.204,0.186,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.265,0.265,0.265,0.204,0.052,0.186,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204
B_cereus1,0.204,0.015,0.0,0.0,0.0,0.204,0.204,0.0,0.0,0.046,0.083,0.046,0.0,0.204,0.204,0.204,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.204,0.186,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.265,0.265,0.265,0.204,0.052,0.186,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204
B_cereus2,0.204,0.015,0.0,0.0,0.0,0.204,0.204,0.0,0.0,0.046,0.083,0.046,0.0,0.204,0.204,0.204,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.204,0.186,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.265,0.265,0.265,0.204,0.052,0.186,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204
B_izardii1,0.166,0.204,0.204,0.204,0.204,0.0,0.006,0.204,0.204,0.204,0.204,0.204,0.204,0.006,0.006,0.006,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.044,0.009,0.041,0.041,0.041,0.028,0.028,0.028,0.044,0.265,0.265,0.265,0.022,0.204,0.204,0.029,0.122,0.029,0.029,0.029,0.122,0.122,0.029,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.029,0.122,0.017,0.017,0.017,0.017,0.037,0.037,0.037,0.144,0.17
B_izardii2,0.166,0.204,0.204,0.204,0.204,0.006,0.0,0.204,0.204,0.204,0.204,0.204,0.204,0.002,0.005,0.005,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.044,0.009,0.041,0.041,0.041,0.028,0.028,0.028,0.044,0.265,0.265,0.265,0.022,0.204,0.204,0.029,0.122,0.029,0.029,0.029,0.122,0.122,0.029,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.029,0.122,0.017,0.017,0.017,0.017,0.037,0.037,0.037,0.144,0.17
B_proteolyticus1,0.204,0.015,0.0,0.0,0.0,0.204,0.204,0.0,0.0,0.046,0.083,0.046,0.0,0.204,0.204,0.204,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.204,0.186,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.265,0.265,0.265,0.204,0.052,0.186,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204
B_proteolyticus2,0.204,0.015,0.0,0.0,0.0,0.204,0.204,0.0,0.0,0.046,0.083,0.046,0.0,0.204,0.204,0.204,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.204,0.186,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.265,0.265,0.265,0.204,0.052,0.186,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204
B_safensis1,0.204,0.046,0.046,0.046,0.046,0.204,0.204,0.046,0.046,0.0,0.083,0.025,0.046,0.204,0.204,0.204,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.204,0.186,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.265,0.265,0.265,0.204,0.052,0.186,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204
B_safensis2,0.204,0.083,0.083,0.083,0.083,0.204,0.204,0.083,0.083,0.083,0.0,0.083,0.083,0.204,0.204,0.204,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.204,0.186,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.265,0.265,0.265,0.204,0.083,0.186,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204
B_subtilis,0.204,0.046,0.046,0.046,0.046,0.204,0.204,0.046,0.046,0.025,0.083,0.0,0.046,0.204,0.204,0.204,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.204,0.186,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.265,0.265,0.265,0.204,0.052,0.186,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204
