,Hash,sample1,sample2,t0,t1,t2,t3,t0_Area,t1_Area,t2_Area,t3_Area,Total
0,-9223147777109393388,Gh29,OGI33-L,701.9455272477244,1018.9036208140536,1023.9974881333134,924.5595108036312,569.0,560.0,494.0,428.0,2.0
1,-9220462868383477967,Gh68,Gh68,795.921184031579,,,942.1722208721948,567.0,,,527.0,2.0
2,-9220462868383477967,Gh68,Gh68,799.1731551980822,,,946.0217438621936,567.0,,,527.0,2.0
3,-9220462868383477967,Gh68,Gh68,799.1731551980822,,,946.0217438621936,567.0,,,527.0,2.0
4,-9220462868383477967,Gh68,Gh68,802.4518091631503,,,949.902852632402,567.0,,,527.0,2.0
5,-9219511701005432558,Gh61,PP,733.3243466526961,863.001065681215,859.1740638823164,850.068430930792,584.0,478.0,499.0,475.0,2.0
6,-9219174344834431187,EC1,ParPR2,650.0020316263353,907.3489181182582,756.8420269123477,772.9649720103085,519.0,525.0,492.0,403.0,2.0
7,-9219100314612146634,EC17,PAg1,651.318737642955,766.349280894162,750.1880267115431,735.7219037910967,566.0,543.0,537.0,526.0,2.0
8,-9216677029382578722,CB,Og87,694.9549689270668,841.7776748867957,863.3946260127063,1064.962983764586,542.0,464.0,459.0,481.0,2.0
9,-9216103894014575516,EC1,Gh40,615.1082864561633,993.0030450296032,724.2416637940094,1361.5377943747174,574.0,515.0,430.0,137.0,2.0
10,-9215872282684423703,Blank1,PH,608.4026013820414,692.6758312262182,701.8824160532404,682.6526331925145,592.0,589.0,559.0,565.0,2.0
11,-9215464238508185804,Gh68,Mono1,612.5939046017311,879.204368307673,695.4577118522168,754.2166380513614,589.0,544.0,568.0,514.0,2.0
12,-9213964122841642656,EC17,Gh50,684.7505613354764,791.7384167686093,784.2022616331321,1409.404073515645,601.0,424.0,431.0,427.0,2.0
13,-9213680608785007604,EC1,OGI33-L,617.4930250288922,1155.209484204162,993.6833270522136,863.2862410299557,573.0,553.0,511.0,486.0,2.0
14,-9212875862086852585,Gh54,LA,749.9531246728197,1397.6195643608512,1264.7563283752393,1173.218793903873,580.0,517.0,468.0,338.0,2.0
15,-9212632909102379993,EC10,KA,667.098910502731,794.5006944454963,1008.6040132388669,758.769517394008,459.0,572.0,457.0,526.0,2.0
16,-9211828162404224974,Gh16,Ut14,692.0704382188445,1012.3321595544388,926.1712645662572,795.1558291054772,584.0,580.0,546.0,554.0,2.0
17,-9210044532681046774,EC17,Mono2,680.7091380583071,1178.0690245549974,805.1156355171146,1209.846435088267,546.0,408.0,474.0,287.0,2.0
18,-9207904761508113914,BI,Gh59,701.8684920557498,807.6378346112348,791.1067396174869,791.7118498584749,563.0,550.0,505.0,469.0,2.0
19,-9207060404164061799,Gh61,Og87,803.5100238437897,1043.489549516912,819.9271752597259,799.5070065867695,474.0,537.0,459.0,518.0,2.0
