Hash,sample1,sample2,sample3,t0,t1,t2,t0_Area,t1_Area,t2_Area,Total
-1857653524,C_lactis4,P_corrugata,S_rhizophila,813.7776484,1778.496075,994.2166667,859,637,360,3
-1873964210,BI,C_lactis6,F_ginsengiterrae,717.1634349,1083.086207,,722,522,,3
-1816876809,C_lathyri2,Gh38,P_monteilii2,706.6877828,2723.047809,838.3052632,663,502,285,3
-1815711760,C_lactis5,Mono1,P_monteilii1,709.4829684,911.5338583,835.2724796,822,635,367,3
-1848333132,EColi,Gh38,M_kyungheense,707.2791563,838.3492586,3383.761261,806,607,222,3
-1833187495,C_lactis4,C_lactis5,P_putida2,704.684058,983.1712575,797.6054795,1035,835,365,3
-1832022446,C_lactis4,P_corrugata,P_putida2,695.3545198,,849.3831776,708,,535,3
-1835517593,Blank1,F_banpakuense1,P_monteilii2,682.1442987,753.8138101,775.4144981,991,811,538,3
-1790080682,C_lactis5,Gh38,P_koreensis2,711.4713314,3210.941566,818.967632,1029,907,587,3
-1792410780,P_monteilii2,P_simiae,RP1,685.06204,759.7131367,753.5443886,951,746,597,3
-1783090388,C_lactis1,C_lactis1,E_cloacae2,698.6418919,,,888,,,3
-1807556417,B_albus,C_lactis5,F_banpakuense1,718.6240964,4327.748115,2240.104022,830,663,721,3
-1809886515,Gh38,P_putida1,RP1,648.0493454,808.0418605,766.2958802,993,860,534,3
-1800566123,C_lactis3,C_lactis5,S_rhizophila,664.1866792,,1155.830986,1066,,142,3
-1801731172,C_lactis4,C_lactis5,Mono1,775.9793341,824.4685864,3675.082262,871,764,389,3
-2045226413,F_ginsengiterrae,P_corrugata,P_mosselii,794.580292,1167.392102,,822,709,,3
-442616880,C_lactis3,E_cloacae2,Gh38,751.8748652,,1128.759676,927,,1731,3
-443781929,EA,EColi,Mono1,762.69,902.6592357,,800,628,,3
-444946978,C_lactis3,P_putida1,P_putida2,754.9529703,821.0824891,,808,691,,3
-476403301,C_lactis4,P_monteilii1,P_mosselii,772.0742734,,,929,,,3
-458927566,E_cloacae2,P_corrugata,RP1,766.3651498,863.7092288,1184.411765,901,791,136,3
-460092615,C_lactis6,E_cloacae2,P_putida2,772.3844492,1065.574219,842.2186788,926,768,439,3
-461257664,F_banpakuense2,P_koreensis1,P_simiae,772.1413911,1432.624661,922.8924303,877,738,502,3
-493879036,Gh38,P_koreensis1,P_mosselii,791.5396825,3081.660232,906.9730849,945,777,483,3
-506694575,P_mosselii,P_putida2,P_putida2,866.1575492,,1188.376147,914,,109,3
-509024673,C_lactis7,C_lactis7,M_kyungheense,774.6702899,5881.348733,4231.641566,828,671,332,3
