,index,Count,STE,additive,combined_effect,focal,good_to_use,i1_f_abxr_distance,i1_f_mtb_distance,i1_f_phg_distance,i1_max_od,i1_time_to_thresh,i2_f_abxr_distance,i2_f_mtb_distance,i2_f_phg_distance,i2_max_od,i2_time_to_thresh,iso1t_abxr_distance,iso1t_mtb_distance,iso1t_phg_distance,iso2t_abxr_distance,iso2t_mtb_distance,iso2t_phg_distance,isos_abxr_distance,isos_mtb_distance,isos_phg_distance,mean,mono_s1_effect,mono_s1_qual_e,mono_s2_effect,mono_s2_qual_e,sample1,sample2,strongest,comm_size,qual_monos,qual_effect,modified_strongest
0,0,134,0.0653783773129133,-6.780060165611728,-3.390030082805864,EC,y,1.7488541963239816,1.7675862072329032,0.044,0.698,0.057971014492753624,1.7488541963239816,1.7675862072329032,0.044,0.698,0.057971014492753624,,,,,,,0.0,0.0,0.0,-3.390030082805864,-3.390030082805864,-,-3.390030082805864,-,B_izardii2,B_izardii2,-3.390030082805864,single,"-,-",Negative,-3.390030082805864
1,5,160,0.1252364338824025,-7.803291544510522,-3.901645772255261,EC,y,2.026922050795245,1.340217146584836,0.044,0.5225,0.08888888888888889,2.026922050795245,1.340217146584836,0.044,0.5225,0.08888888888888889,,,,,,,0.0,0.0,0.0,-3.901645772255261,-3.901645772255261,-,-3.901645772255261,-,C_freundii2,C_freundii2,-3.901645772255261,single,"-,-",Negative,-3.901645772255261
2,9,87,0.0641778268454951,-6.205751614920341,-3.1028758074601703,EC,y,1.3904905609172613,1.5835457050555883,0.044,0.812,0.07272727272727272,1.3904905609172613,1.5835457050555883,0.044,0.812,0.07272727272727272,,,,,,,0.0,0.0,0.0,-3.1028758074601703,-3.1028758074601703,-,-3.1028758074601703,-,E_americana2,E_americana2,-3.1028758074601703,single,"-,-",Negative,-3.1028758074601703
3,14,203,0.0428034139536542,0.0746538334332401,0.03732691671662,EC,y,0.4601478023418127,1.8053852774408012,0.204,0.794,0.02962962962962963,0.4601478023418127,1.8053852774408012,0.204,0.794,0.02962962962962963,,,,,,,0.0,0.0,0.0,0.03732691671662,0.03732691671662,+,0.03732691671662,+,B_subtilis,B_subtilis,0.03732691671662,single,"+,+",Neutral,0.03732691671662
4,20,184,0.0331217543378685,0.8724749916454176,0.4362374958227088,EC,y,,2.42466801851305,0.204,0.5885,0.027210884353741496,,2.42466801851305,0.204,0.5885,0.027210884353741496,,,,,,,,0.0,0.0,0.4362374958227088,0.4362374958227088,+,0.4362374958227088,+,B_proteolyticus1,B_proteolyticus1,0.4362374958227088,single,"+,+",Positive,0.4362374958227088
5,27,206,0.042173875984294,0.6284764577658492,0.3142382288829246,EC,y,,2.1426082236377235,0.204,0.311,0.02531645569620253,,2.1426082236377235,0.204,0.311,0.02531645569620253,,,,,,,,0.0,0.0,0.3142382288829246,0.3142382288829246,+,0.3142382288829246,+,B_proteolyticus2,B_proteolyticus2,0.3142382288829246,single,"+,+",Positive,0.3142382288829246
6,35,215,0.0209304971157551,-4.442359621463647,-2.2211798107318232,EC,y,1.3069234866663006,1.9576792382819,0.204,0.0625,,1.3069234866663006,1.9576792382819,0.204,0.0625,,,,,,,,0.0,0.0,0.0,-2.2211798107318232,-2.2211798107318232,-,-2.2211798107318232,-,B_thuringiensis,B_thuringiensis,-2.2211798107318232,single,"-,-",Negative,-2.2211798107318232
7,44,142,0.0267052723998206,0.7991854543793395,0.3995927271896697,EC,y,2.100608007220767,1.5021321513102632,0.204,0.829,0.03125,2.100608007220767,1.5021321513102632,0.204,0.829,0.03125,,,,,,,0.0,0.0,0.0,0.3995927271896697,0.3995927271896697,+,0.3995927271896697,+,B_cereus1,B_cereus1,0.3995927271896697,single,"+,+",Positive,0.3995927271896697
8,54,125,0.020134335306436,-4.582212584079062,-2.291106292039531,EC,y,1.2989661273489774,1.9319772255386447,0.044,1.3085,0.09090909090909091,1.2989661273489774,1.9319772255386447,0.044,1.3085,0.09090909090909091,,,,,,,0.0,0.0,0.0,-2.291106292039531,-2.291106292039531,-,-2.291106292039531,-,E_cloacae,E_cloacae,-2.291106292039531,single,"-,-",Negative,-2.291106292039531
9,65,186,0.0236656920337847,-4.6322878500871605,-2.31614392504358,EC,y,1.867273681065526,2.048536794885559,0.044,1.2555,0.08695652173913043,1.867273681065526,2.048536794885559,0.044,1.2555,0.08695652173913043,,,,,,,0.0,0.0,0.0,-2.31614392504358,-2.31614392504358,-,-2.31614392504358,-,E_cloacae1,E_cloacae1,-2.31614392504358,single,"-,-",Negative,-2.31614392504358
